,scores,avg_rwds
316,4.0,10.4
317,7.0,10.49
318,7.0,10.5
319,7.0,10.53
320,1.0,10.6
321,10.0,10.74
322,6.0,10.7
323,11.0,10.76
324,16.0,10.77
325,13.0,10.76
326,4.0,10.74
327,6.0,10.83
328,10.0,10.87
329,21.0,10.86
330,12.0,10.79
331,12.0,10.8
332,10.0,10.79
333,9.0,10.88
334,9.0,10.91
335,8.0,10.96
336,13.0,11.05
337,10.0,11.06
338,11.0,11.11
339,5.0,11.15
340,5.0,11.21
341,11.0,11.25
342,5.0,11.28
343,8.0,11.41
344,6.0,11.53
345,15.0,11.61
346,9.0,11.63
347,12.0,11.68
348,9.0,11.71
349,8.0,11.69
350,11.0,11.74
351,3.0,11.68
352,17.0,11.76
353,9.0,11.67
354,9.0,11.67
355,6.0,11.7
356,15.0,11.7
357,5.0,11.7
358,13.0,11.85
359,14.0,11.88
360,9.0,11.84
361,14.0,11.9
362,10.0,11.9
363,10.0,11.91
364,9.0,11.95
365,15.0,12.0
366,9.0,11.97
367,14.0,12.0
368,2.0,11.97
369,8.0,12.09
370,15.0,12.12
371,14.0,12.11
372,10.0,12.08
373,3.0,12.16
374,11.0,12.23
375,7.0,12.24
376,10.0,12.32
377,9.0,12.35
378,12.0,12.39
379,14.0,12.46
380,11.0,12.48
381,2.0,12.52
382,11.0,12.58
383,17.0,12.62
384,10.0,12.6
385,11.0,12.61
386,18.0,12.65
387,15.0,12.5
388,12.0,12.47
389,10.0,12.51
390,17.0,12.58
391,12.0,12.51
392,11.0,12.57
393,11.0,12.61
394,12.0,12.68
395,13.0,12.64
396,12.0,12.7
397,12.0,12.78
398,13.0,12.77
399,13.0,12.74
400,14.0,12.72
401,12.0,12.73
402,3.0,12.76
403,11.0,12.87
404,15.0,12.88
405,10.0,12.84
406,15.0,12.88
407,11.0,12.84
408,17.0,12.86
409,10.0,12.8
410,6.0,12.8
411,13.0,12.82
412,7.0,12.85
413,12.0,12.89
414,13.0,12.92
415,11.0,12.95
416,13.0,12.93
417,8.0,12.96
418,10.0,13.04
