,scores,avg_rwds
317,14.0,11.67
318,14.0,11.72
319,14.0,11.71
320,8.0,11.68
321,5.0,11.72
322,7.0,11.84
323,17.0,11.87
324,14.0,11.8
325,11.0,11.82
326,15.0,11.86
327,14.0,11.84
328,7.0,11.81
329,11.0,11.9
330,10.0,11.92
331,12.0,11.96
332,12.0,12.0
333,12.0,12.03
334,12.0,12.04
335,12.0,12.07
336,12.0,12.08
337,6.0,12.11
338,8.0,12.21
339,19.0,12.28
340,9.0,12.21
341,6.0,12.25
342,10.0,12.32
343,10.0,12.36
344,14.0,12.38
345,10.0,12.3
346,10.0,12.33
347,8.0,12.42
348,10.0,12.44
349,11.0,12.45
350,11.0,12.49
351,14.0,12.49
352,15.0,12.52
353,10.0,12.48
354,13.0,12.51
355,7.0,12.53
356,18.0,12.57
357,11.0,12.56
358,11.0,12.63
359,13.0,12.66
360,18.0,12.61
361,8.0,12.54
362,15.0,12.61
363,15.0,12.63
364,11.0,12.62
365,6.0,12.71
366,10.0,12.74
367,15.0,12.84
368,11.0,12.83
369,12.0,12.86
370,3.0,12.85
371,3.0,12.93
372,13.0,13.05
373,11.0,13.05
374,15.0,13.11
375,16.0,13.05
376,13.0,13.02
377,17.0,13.05
378,11.0,13.01
379,9.0,12.99
380,14.0,13.05
381,16.0,13.01
382,6.0,12.91
383,4.0,13.04
384,12.0,13.06
385,9.0,13.1
386,10.0,13.12
387,8.0,13.2
388,14.0,13.27
389,19.0,13.24
390,12.0,13.16
391,7.0,13.15
392,13.0,13.24
393,5.0,13.27
394,10.0,13.36
395,16.0,13.39
396,15.0,13.37
397,17.0,13.38
398,11.0,13.34
399,10.0,13.29
400,16.0,13.31
401,15.0,13.3
402,15.0,13.32
403,15.0,13.3
404,13.0,13.28
405,17.0,13.28
406,10.0,13.21
407,15.0,13.19
408,11.0,13.19
409,12.0,13.25
410,9.0,13.3
411,12.0,13.39
412,11.0,13.42
413,7.0,13.42
414,17.0,13.46
415,11.0,13.41
416,14.0,13.41
417,19.0,13.41
418,13.0,13.39
419,11.0,13.42
420,12.0,13.42
421,17.0,13.43
422,10.0,13.4
423,10.0,13.49
424,16.0,13.6
425,15.0,13.59
426,13.0,13.63
427,11.0,13.66
428,16.0,13.64
429,13.0,13.68
430,14.0,13.71
431,16.0,13.74
432,15.0,13.75
433,13.0,13.74
434,15.0,13.83
435,13.0,13.84
436,15.0,13.83
437,16.0,13.81
438,15.0,13.82
439,12.0,13.81
440,13.0,13.82
441,13.0,13.94
442,14.0,13.99
443,12.0,14.04
444,6.0,14.02
445,13.0,14.08
446,19.0,14.11
447,10.0,14.06
448,11.0,14.12
449,15.0,14.14
450,11.0,14.13
451,17.0,14.1
452,11.0,14.1
453,13.0,14.09
454,15.0,14.11
455,11.0,14.14
456,17.0,14.13
457,18.0,14.12
458,14.0,14.05
459,8.0,14.1
460,11.0,14.17
461,15.0,14.19
462,17.0,14.19
463,14.0,14.18
464,20.0,14.22
465,9.0,14.13
466,20.0,14.2
467,14.0,14.13
468,14.0,14.14
469,11.0,14.07
470,11.0,14.09
471,15.0,14.12
472,13.0,14.06
473,17.0,14.12
474,9.0,14.12
475,13.0,14.16
476,16.0,14.1
477,13.0,14.09
478,9.0,14.14
479,15.0,14.21
480,10.0,14.16
481,6.0,14.18
482,19.0,14.3
483,6.0,14.3
484,16.0,14.37
485,11.0,14.35
486,18.0,14.4
487,15.0,14.39
488,11.0,14.4
489,11.0,14.46
490,11.0,14.38
491,16.0,14.36
492,16.0,14.35
493,14.0,14.32
494,13.0,14.33
495,14.0,14.35
496,16.0,14.32
497,13.0,14.3
498,6.0,14.28
499,12.0,14.29
500,15.0,14.36
501,17.0,14.36
502,13.0,14.29
503,13.0,14.29
504,13.0,14.3
505,10.0,14.29
506,8.0,14.34
507,15.0,14.45
508,17.0,14.42
509,17.0,14.38
510,18.0,14.42
511,15.0,14.41
512,11.0,14.41
513,11.0,14.48
514,12.0,14.56
515,11.0,14.56
516,14.0,14.65
517,17.0,14.66
518,16.0,14.58
519,11.0,14.63
520,13.0,14.71
521,14.0,14.68
522,19.0,14.72
523,21.0,14.63
524,15.0,14.55
525,19.0,14.48
526,16.0,14.52
527,9.0,14.47
528,20.0,14.5
529,16.0,14.45
530,17.0,14.47
531,17.0,14.45
532,14.0,14.4
533,22.0,14.39
534,16.0,14.39
535,12.0,14.35
536,13.0,14.39
537,17.0,14.37
538,14.0,14.35
539,13.0,14.38
