,scores,avg_rwds
316,13.0,10.69
317,6.0,10.66
318,9.0,10.73
319,6.0,10.8
320,5.0,10.9
321,11.0,10.97
322,12.0,10.98
323,3.0,10.99
324,6.0,11.13
325,9.0,11.22
326,9.0,11.18
327,13.0,11.27
328,10.0,11.31
329,15.0,11.38
330,5.0,11.4
331,13.0,11.54
332,14.0,11.45
333,7.0,11.47
334,7.0,11.52
335,12.0,11.57
336,9.0,11.57
337,1.0,11.61
338,6.0,11.72
339,14.0,11.82
340,9.0,11.73
341,1.0,11.8
342,13.0,11.9
343,11.0,11.94
344,16.0,12.0
345,18.0,12.03
346,10.0,11.93
347,15.0,11.94
348,14.0,11.93
349,13.0,11.91
350,2.0,11.86
351,6.0,11.95
352,15.0,12.04
353,14.0,11.97
354,7.0,11.93
355,14.0,11.99
356,10.0,12.02
357,6.0,12.05
358,15.0,12.05
359,12.0,12.07
360,10.0,12.05
361,13.0,12.11
362,3.0,12.14
363,11.0,12.19
364,18.0,12.22
365,9.0,12.17
366,2.0,12.22
367,10.0,12.35
368,8.0,12.37
369,15.0,12.42
370,14.0,12.34
371,11.0,12.3
372,10.0,12.26
373,7.0,12.29
374,15.0,12.4
375,16.0,12.4
376,17.0,12.41
377,14.0,12.35
378,14.0,12.33
379,7.0,12.33
380,14.0,12.37
381,7.0,12.32
382,6.0,12.37
383,6.0,12.43
384,19.0,12.49
385,7.0,12.4
386,15.0,12.49
387,11.0,12.46
388,13.0,12.46
389,9.0,12.44
390,10.0,12.46
391,12.0,12.52
392,10.0,12.57
393,11.0,12.63
394,14.0,12.59
395,10.0,12.61
396,12.0,12.64
397,8.0,12.65
398,17.0,12.74
399,11.0,12.71
400,16.0,12.7
401,15.0,12.67
402,10.0,12.7
403,16.0,12.77
404,12.0,12.7
405,8.0,12.74
406,7.0,12.79
407,11.0,12.85
408,13.0,12.87
409,16.0,12.89
410,5.0,12.84
411,10.0,12.9
412,15.0,13.0
413,12.0,12.92
414,6.0,12.92
415,15.0,12.99
416,10.0,12.95
417,13.0,12.94
418,16.0,12.97
419,16.0,13.02
