,scores,avg_rwds
316,9.0,11.53
317,7.0,11.59
318,5.0,11.62
319,11.0,11.66
320,14.0,11.63
321,10.0,11.61
322,6.0,11.64
323,12.0,11.72
324,11.0,11.74
325,10.0,11.75
326,11.0,11.7
327,8.0,11.79
328,8.0,11.86
329,5.0,11.93
330,1.0,12.05
331,14.0,12.16
332,15.0,12.08
333,7.0,12.03
334,8.0,12.06
335,10.0,12.16
336,9.0,12.17
337,15.0,12.19
338,8.0,12.17
339,0.0,12.13
340,14.0,12.27
341,8.0,12.23
342,13.0,12.29
343,10.0,12.23
344,18.0,12.26
345,15.0,12.21
346,11.0,12.21
347,11.0,12.22
348,8.0,12.25
349,12.0,12.34
350,13.0,12.3
351,14.0,12.29
352,8.0,12.21
353,3.0,12.26
354,12.0,12.32
355,13.0,12.31
356,1.0,12.35
357,15.0,12.51
358,11.0,12.48
359,14.0,12.42
360,15.0,12.5
361,6.0,12.47
362,7.0,12.56
363,6.0,12.61
364,12.0,12.7
365,16.0,12.73
366,10.0,12.69
367,11.0,12.74
368,13.0,12.8
369,11.0,12.8
370,14.0,12.77
371,14.0,12.74
372,15.0,12.74
373,16.0,12.76
374,11.0,12.71
375,17.0,12.69
376,10.0,12.64
377,18.0,12.68
378,13.0,12.74
379,14.0,12.71
380,11.0,12.71
381,10.0,12.78
382,12.0,12.8
383,16.0,12.88
384,12.0,12.89
385,14.0,12.85
386,17.0,12.82
387,14.0,12.81
388,15.0,12.81
389,17.0,12.76
390,14.0,12.7
391,14.0,12.7
392,15.0,12.71
393,12.0,12.57
394,10.0,12.57
395,17.0,12.65
396,14.0,12.67
397,17.0,12.7
398,8.0,12.73
399,8.0,12.76
400,15.0,12.86
401,14.0,12.8
402,8.0,12.87
403,12.0,13.01
